<ticker>,<date>,<close>
$SPX_ST,9/26/2012,-0.134139
$SPX_ST,9/27/2012,0.0151111
$SPX_ST,9/28/2012,-0.0720795
$SPX_ST,10/01/2012,0.0362538
$SPX_ST,10/02/2012,-0.134711
$SPX_ST,10/03/2012,0.119928
$SPX_ST,10/04/2012,0.315289
$SPX_ST,10/05/2012,-0.0291859
$SPX_ST,10/08/2012,-0.0939227
$SPX_ST,10/09/2012,-0.230345
$SPX_ST,10/10/2012,-0.109174
$SPX_ST,10/11/2012,0.0372453
$SPX_ST,10/12/2012,0.0678899
$SPX_ST,10/15/2012,0.0379551
$SPX_ST,10/16/2012,0.0958333
$SPX_ST,10/17/2012,-0.0563607
$SPX_ST,10/18/2012,-0.0954479
$SPX_ST,10/19/2012,-0.258789
$SPX_ST,10/22/2012,0
$SPX_ST,10/23/2012,-0.158769
$SPX_ST,10/24/2012,-0.188555
$SPX_ST,10/25/2012,-0.140073
$SPX_ST,10/26/2012,0.0555556
$SPX_ST,10/29/2012,-0.145729
$SPX_ST,10/30/2012,-0.0271493
$SPX_ST,10/31/2012,-0.0393965
$SPX_ST,11/01/2012,0.140884
$SPX_ST,11/02/2012,-0.232575
$SPX_ST,11/05/2012,-0.100541
$SPX_ST,11/06/2012,0.0807636
$SPX_ST,11/07/2012,-0.25724
$SPX_ST,11/08/2012,-0.152941
$SPX_ST,11/09/2012,0.10795
$SPX_ST,11/12/2012,0.09062
$SPX_ST,11/13/2012,-0.090011
$SPX_ST,11/14/2012,-0.106233
$SPX_ST,11/15/2012,0.0973621
$SPX_ST,11/16/2012,0.120587
$SPX_ST,11/19/2012,0.222222
$SPX_ST,11/20/2012,-0.0217391
$SPX_ST,11/21/2012,-0.0500472
$SPX_ST,11/23/2012,0.149502
$SPX_ST,11/26/2012,0.0385906
$SPX_ST,11/27/2012,0.0545922
$SPX_ST,11/28/2012,0.124937
$SPX_ST,11/29/2012,-0.0370787
$SPX_ST,11/30/2012,0.0868726
$SPX_ST,12/03/2012,-0.0936019
$SPX_ST,12/04/2012,0.210095
$SPX_ST,12/05/2012,0.151553
$SPX_ST,12/06/2012,0.126882
$SPX_ST,12/07/2012,-0.00622084
$SPX_ST,12/10/2012,0.0439663
$SPX_ST,12/11/2012,0.228834
$SPX_ST,12/12/2012,0.0974822
$SPX_ST,12/13/2012,-0.0926949
$SPX_ST,12/14/2012,-0.117467
$SPX_ST,12/17/2012,0.35219
$SPX_ST,12/18/2012,0.272136
$SPX_ST,12/19/2012,-0.000785546
$SPX_ST,12/20/2012,0.0190996
$SPX_ST,12/21/2012,-0.0410613
$SPX_ST,12/24/2012,0.178295
$SPX_ST,12/26/2012,0.0676328
$SPX_ST,12/27/2012,-0.154967
$SPX_ST,12/28/2012,-0.0892857
$SPX_ST,12/31/2012,0.0810409
